gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,target,average score,score variance,strongest subject,weakest subject,parent_education_level,is_test_prepared,is_lunch_free,study_hours_per_week,attendance_rate,internet_access,school_support,past_failures,risk_factor,final_prediction_score
female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,Pass,72.66666666666667,1.3333333333333335,writing score,math score,5,0,0,12.323210316490623,86.59370114742026,1,0,0,0.2681259770515947,0.7937352446709138
female,group C,some college,standard,completed,69,90,88,82.33333333333333,Pass,82.33333333333333,134.33333333333334,reading score,math score,3,1,0,17.465903251311268,94.450701619541,0,1,0,0.0,0.8763333333333332
female,group B,master's degree,standard,none,90,95,93,92.66666666666669,Pass,92.66666666666667,6.333333333333333,reading score,math score,6,0,0,10.386471188760561,84.55802503370248,1,0,0,0.0,0.9486666666666668
male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,Fail,49.333333333333336,46.333333333333336,reading score,writing score,4,0,1,6.398164914949811,85.8788945311919,1,0,1,1.7824221093761619,0.5460736607633232
male,group C,some college,standard,none,76,78,75,76.33333333333333,Pass,76.33333333333333,2.3333333333333335,reading score,writing score,3,0,0,5.653720303466599,82.79370160937468,0,0,1,2.3441259678125066,0.703793448979361
female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,Pass,77.33333333333333,36.333333333333336,reading score,math score,4,0,0,9.000264478216438,83.39007518125501,1,1,0,0.33219849637489973,0.822833835484329
female,group B,some college,standard,completed,88,95,92,91.66666666666669,Pass,91.66666666666667,12.333333333333332,reading score,math score,3,1,0,21.002420936418606,91.65104858090805,1,0,0,0.16697902838183892,0.9323679244685907
male,group B,some college,free/reduced,none,40,43,39,40.66666666666666,Fail,40.666666666666664,4.333333333333333,reading score,writing score,3,0,1,6.635669071454763,81.65829577357881,1,0,0,1.3668340845284237,0.5085502950316081
male,group D,high school,free/reduced,completed,64,64,67,65.0,Pass,65.0,3.0,writing score,math score,2,1,1,15.769849611881835,92.3840225118933,0,0,1,1.652319549762134,0.6629854897290193
female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,Fail,49.333333333333336,121.33333333333333,reading score,math score,2,0,1,5.40233492606599,81.91585798886805,1,1,0,1.3616828402226389,0.5695038246250925
male,group C,associate's degree,standard,none,58,54,52,54.66666666666666,Fail,54.666666666666664,9.333333333333332,math score,writing score,4,0,0,9.027228266899677,82.90608650414443,0,1,0,0.34187826991711145,0.6636281207732637
male,group D,associate's degree,standard,none,40,52,43,45.0,Fail,45.0,39.0,reading score,math score,4,0,0,7.632474430818585,84.45588122530093,1,0,1,1.8108823754939816,0.5141554297330584
female,group B,high school,standard,none,65,81,73,73.0,Pass,73.0,64.0,reading score,math score,2,0,0,6.306118522837967,81.50571623650022,1,0,0,1.8698856752699955,0.7068696490049641
male,group A,some college,standard,completed,78,72,70,73.33333333333333,Pass,73.33333333333333,17.333333333333332,math score,writing score,3,1,0,10.699754682441188,93.23289526303327,1,0,0,0.1353420947393346,0.8057963913608914
female,group A,master's degree,standard,none,50,53,58,53.66666666666666,Fail,53.666666666666664,16.333333333333336,writing score,math score,6,0,0,17.0373662514275,85.15525248189614,1,0,0,0.0,0.6756666666666666
female,group C,some high school,standard,none,69,75,78,74.0,Pass,74.0,21.0,writing score,math score,1,0,0,3.4051292529585204,81.32355222661182,1,0,2,4.373528955467764,0.574446551121874
male,group C,high school,standard,none,88,89,86,87.66666666666667,Pass,87.66666666666667,2.3333333333333335,reading score,writing score,2,0,0,4.084067155074941,82.64139232153356,1,1,2,3.347172153569329,0.7272690618282543
female,group B,some high school,free/reduced,none,18,32,28,26.0,Fail,26.0,52.0,reading score,math score,1,0,1,1.2541947185660858,80.9773503981224,0,0,1,3.380452992037552,0.29374904902554394
male,group C,master's degree,free/reduced,completed,46,42,46,44.66666666666666,Fail,44.666666666666664,5.333333333333333,math score,reading score,6,1,1,18.858327954583846,95.1049146560101,1,1,0,0.0,0.6126666666666667
